2006-01-04, 3.67, 3.70, 0.03, 0.82%, 3.61, 3.73, 24322, 894.32, 1.57%
2006-01-05, 3.70, 3.68, -0.02, -0.54%, 3.62, 3.73, 35020, 1286.54, 2.26%
2006-01-06, 3.69, 3.70, 0.02, 0.54%, 3.67, 3.78, 55765, 2070.82, 3.60%
2006-01-09, 3.70, 3.78, 0.08, 2.16%, 3.70, 3.79, 33080, 1239.33, 2.14%
2006-01-10, 3.76, 3.90, 0.12, 3.17%, 3.76, 3.92, 48913, 1888.03, 3.16%
2006-01-11, 3.90, 3.88, -0.02, -0.51%, 3.83, 4.00, 50812, 1989.12, 3.28%
2006-01-12, 3.85, 3.97, 0.09, 2.32%, 3.82, 3.98, 32835, 1279.20, 2.12%
2006-01-13, 3.97, 4.00, 0.03, 0.76%, 3.92, 4.07, 44067, 1757.42, 2.85%
2006-01-16, 3.99, 3.85, -0.15, -3.75%, 3.83, 3.99, 34760, 1354.77, 2.25%
2006-01-17, 3.82, 3.88, 0.03, 0.78%, 3.81, 3.92, 23325, 900.55, 1.51%
2006-01-18, 3.89, 3.94, 0.06, 1.55%, 3.84, 3.95, 23725, 928.83, 1.53%
2006-01-19, 3.95, 4.03, 0.09, 2.28%, 3.93, 4.05, 49869, 1991.20, 3.22%
2006-01-20, 4.05, 4.22, 0.19, 4.71%, 4.05, 4.31, 123895, 5162.90, 8.01%
2006-01-23, 4.22, 4.22, 0.00, 0.00%, 4.14, 4.26, 52938, 2220.85, 3.42%
2006-01-24, 4.22, 4.18, -0.04, -0.95%, 4.13, 4.35, 44133, 1876.49, 2.85%
2006-01-25, 4.20, 4.09, -0.09, -2.15%, 4.00, 4.25, 55055, 2245.18, 3.56%
2006-02-06, 4.09, 4.19, 0.10, 2.44%, 3.98, 4.25, 59155, 2451.71, 3.82%
2006-02-07, 4.23, 4.45, 0.26, 6.21%, 4.23, 4.61, 196812, 8776.91, 12.72%
2006-02-08, 4.50, 4.90, 0.45, 10.11%, 4.47, 4.90, 189308, 8923.63, 12.23%
2006-02-09, 4.90, 4.68, -0.22, -4.49%, 4.66, 4.94, 103540, 4937.04, 6.69%
2006-02-10, 4.69, 4.91, 0.23, 4.91%, 4.68, 5.10, 115976, 5732.75, 7.50%
2006-02-13, 4.90, 4.81, -0.10, -2.04%, 4.66, 4.92, 68775, 3285.63, 4.44%
2006-02-14, 4.80, 4.98, 0.17, 3.53%, 4.70, 5.05, 66755, 3275.10, 4.31%
2006-02-15, 4.97, 4.83, -0.15, -3.01%, 4.79, 4.98, 59546, 2892.88, 3.85%
2006-02-16, 4.81, 4.50, -0.33, -6.83%, 4.48, 4.87, 93911, 4337.16, 6.07%
2006-02-17, 4.50, 4.37, -0.13, -2.89%, 4.33, 4.60, 59733, 2671.70, 3.86%
2006-02-20, 4.37, 4.42, 0.05, 1.14%, 4.37, 4.53, 48233, 2146.99, 3.12%
2006-02-21, 4.42, 4.48, 0.06, 1.36%, 4.29, 4.49, 41724, 1834.74, 2.70%
2006-02-22, 4.47, 4.49, 0.01, 0.22%, 4.44, 4.63, 48441, 2198.64, 3.13%
2006-02-23, 4.47, 4.40, -0.09, -2.00%, 4.33, 4.52, 35581, 1568.12, 2.30%
2006-02-24, 4.40, 4.40, 0.00, 0.00%, 4.31, 4.47, 33837, 1492.74, 2.19%
2006-02-27, 4.36, 4.43, 0.03, 0.68%, 4.35, 4.49, 24759, 1095.98, 1.60%
2006-02-28, 4.42, 4.59, 0.16, 3.61%, 4.32, 4.61, 51624, 2318.18, 3.34%
2006-03-01, 4.55, 4.59, 0.00, 0.00%, 4.48, 4.60, 34964, 1586.92, 2.26%
2006-03-02, 4.57, 4.40, -0.19, -4.14%, 4.35, 4.64, 38281, 1728.39, 2.47%
2006-03-03, 4.40, 4.44, 0.04, 0.91%, 4.24, 4.45, 55419, 2403.86, 3.58%
2006-03-06, 4.38, 4.25, -0.19, -4.28%, 4.21, 4.41, 24806, 1068.04, 1.60%
2006-03-07, 4.23, 4.08, -0.17, -4.00%, 4.06, 4.28, 31144, 1287.48, 2.01%
2006-03-08, 4.03, 4.09, 0.01, 0.25%, 4.03, 4.16, 22530, 920.59, 1.46%
2006-03-09, 4.06, 4.03, -0.06, -1.47%, 4.00, 4.12, 18606, 755.19, 1.20%
2006-03-10, 4.01, 3.84, -0.19, -4.71%, 3.82, 4.08, 48927, 1921.20, 3.16%
2006-03-13, 3.85, 3.90, 0.06, 1.56%, 3.83, 3.91, 27226, 1054.16, 1.76%
2006-03-14, 3.91, 3.84, -0.06, -1.54%, 3.81, 3.92, 18520, 716.11, 1.20%
2006-03-15, 3.85, 4.03, 0.19, 4.95%, 3.85, 4.03, 36741, 1461.04, 2.37%
2006-03-16, 4.00, 4.02, -0.01, -0.25%, 3.98, 4.06, 22430, 902.04, 1.45%
2006-03-17, 4.03, 3.96, -0.06, -1.49%, 3.91, 4.04, 15054, 596.11, 0.97%
2006-03-20, 3.98, 4.07, 0.11, 2.78%, 3.96, 4.08, 20706, 834.83, 1.34%
2006-03-21, 4.07, 4.09, 0.02, 0.49%, 4.03, 4.16, 29390, 1207.71, 1.90%
2006-03-22, 4.10, 4.20, 0.11, 2.69%, 4.00, 4.22, 35527, 1463.51, 2.30%
2006-03-23, 4.22, 4.38, 0.18, 4.29%, 4.16, 4.47, 75066, 3255.29, 4.85%
2006-03-24, 4.29, 4.23, -0.15, -3.42%, 4.21, 4.37, 45968, 1966.81, 2.97%
2006-03-27, 4.28, 4.29, 0.06, 1.42%, 4.15, 4.33, 29012, 1228.48, 1.88%
2006-03-28, 4.29, 4.25, -0.04, -0.93%, 4.21, 4.29, 22395, 950.31, 1.45%
2006-03-29, 4.25, 4.23, -0.02, -0.47%, 4.22, 4.35, 35626, 1529.01, 2.30%
2006-03-30, 4.23, 4.32, 0.09, 2.13%, 4.20, 4.35, 43447, 1862.14, 2.81%
2006-03-31, 4.35, 4.42, 0.10, 2.31%, 4.25, 4.47, 63834, 2797.76, 4.12%
2006-04-03, 4.42, 4.52, 0.10, 2.26%, 4.36, 4.55, 51928, 2313.17, 3.36%
2006-04-04, 4.52, 4.52, 0.00, 0.00%, 4.41, 4.58, 40832, 1831.87, 2.64%
2006-04-05, 4.51, 4.53, 0.01, 0.22%, 4.46, 4.60, 53605, 2426.86, 3.46%
2006-04-06, 4.55, 4.40, -0.13, -2.87%, 4.36, 4.58, 60246, 2678.23, 3.89%
2006-04-07, 4.39, 4.50, 0.10, 2.27%, 4.31, 4.51, 59983, 2659.11, 3.88%
2006-04-10, 4.50, 4.68, 0.18, 4.00%, 4.47, 4.68, 68572, 3164.47, 4.43%
2006-04-11, 4.68, 4.59, -0.09, -1.92%, 4.53, 4.75, 47256, 2188.12, 3.05%
2006-04-12, 4.58, 4.66, 0.07, 1.53%, 4.57, 4.74, 48107, 2244.76, 3.11%
2006-04-13, 4.67, 4.35, -0.31, -6.65%, 4.34, 4.68, 51268, 2304.77, 3.31%
2006-04-14, 4.34, 4.47, 0.12, 2.76%, 4.31, 4.51, 36756, 1623.15, 2.38%
2006-04-17, 4.45, 4.43, -0.04, -0.89%, 4.38, 4.55, 33829, 1508.03, 2.19%
2006-04-18, 4.43, 4.63, 0.20, 4.51%, 4.40, 4.64, 57668, 2629.59, 3.73%
2006-04-19, 4.65, 4.55, -0.08, -1.73%, 4.47, 4.67, 38321, 1748.40, 2.48%
2006-04-20, 4.56, 4.44, -0.11, -2.42%, 4.35, 4.58, 42453, 1884.42, 2.74%
2006-04-21, 4.42, 4.88, 0.44, 9.91%, 4.37, 4.88, 167789, 8025.14, 10.84%
2006-04-24, 4.84, 5.05, 0.17, 3.48%, 4.74, 5.20, 183807, 9160.93, 11.88%
2006-04-25, 5.01, 5.07, 0.02, 0.40%, 4.80, 5.32, 119555, 6029.75, 7.73%
2006-04-26, 4.98, 4.56, -0.51, -10.06%, 4.56, 5.06, 148539, 7141.21, 9.60%
2006-04-28, 4.48, 4.53, -0.03, -0.66%, 4.31, 4.78, 85234, 3896.17, 5.51%
2006-05-08, 4.50, 4.75, 0.22, 4.86%, 4.48, 4.83, 83820, 3888.05, 5.42%
2006-05-09, 4.75, 4.95, 0.20, 4.21%, 4.69, 5.06, 97117, 4756.02, 6.28%
2006-05-10, 4.99, 5.45, 0.50, 10.10%, 4.82, 5.45, 125580, 6516.97, 8.12%
2006-05-11, 5.92, 6.00, 0.55, 10.09%, 5.60, 6.00, 151882, 9037.57, 9.82%
2006-05-12, 6.50, 6.60, 0.60, 10.00%, 5.88, 6.60, 332403, 21018.94, 21.48%
2006-06-15, 5.94, 5.94, -0.66, -10.00%, 5.94, 5.94, 8893, 528.24, 0.58%
2006-06-16, 5.35, 5.64, -0.30, -5.05%, 5.35, 5.75, 158205, 8685.57, 10.22%
2006-06-19, 5.50, 5.79, 0.15, 2.66%, 5.41, 5.85, 84549, 4770.18, 5.46%
2006-06-20, 5.85, 5.75, -0.04, -0.69%, 5.60, 5.88, 66800, 3822.57, 4.32%
2006-06-21, 5.74, 5.62, -0.13, -2.26%, 5.55, 5.74, 64205, 3618.13, 4.15%
2006-06-22, 5.60, 5.50, -0.12, -2.14%, 5.49, 5.70, 81461, 4526.63, 5.26%
2006-07-14, 4.15, 4.07, -1.43, -26.00%, 4.01, 4.34, 172065, 7141.41, 8.30%
2006-07-17, 4.04, 4.48, 0.41, 10.07%, 4.03, 4.48, 118529, 5011.36, 5.72%
2006-07-18, 4.60, 4.61, 0.13, 2.90%, 4.50, 4.88, 206392, 9666.44, 9.95%
2006-07-19, 4.59, 4.45, -0.16, -3.47%, 4.38, 4.73, 104599, 4745.28, 5.04%
2006-07-20, 4.50, 4.54, 0.09, 2.02%, 4.45, 4.64, 79398, 3615.47, 3.83%
2006-07-21, 4.50, 4.57, 0.03, 0.66%, 4.31, 4.59, 80415, 3583.74, 3.88%
2006-07-24, 4.51, 4.76, 0.19, 4.16%, 4.37, 4.84, 118636, 5517.95, 5.72%
2006-07-25, 4.74, 4.71, -0.05, -1.05%, 4.68, 4.85, 72332, 3443.40, 3.49%
2006-07-26, 4.76, 4.71, 0.00, 0.00%, 4.62, 4.77, 40177, 1880.96, 1.94%
2006-07-27, 4.74, 4.62, -0.09, -1.91%, 4.46, 4.75, 55472, 2547.37, 2.68%
2006-07-28, 4.65, 4.49, -0.13, -2.81%, 4.42, 4.67, 53311, 2415.20, 2.57%
2006-07-31, 4.49, 4.15, -0.34, -7.57%, 4.14, 4.53, 56278, 2412.14, 2.71%
2006-08-01, 4.20, 4.04, -0.11, -2.65%, 4.01, 4.23, 60099, 2463.01, 2.90%
2006-08-02, 4.06, 4.09, 0.05, 1.24%, 3.87, 4.10, 41332, 1649.48, 1.99%
2006-08-03, 4.07, 3.99, -0.10, -2.44%, 3.95, 4.10, 22763, 915.59, 1.10%
2006-08-04, 4.00, 3.72, -0.27, -6.77%, 3.70, 4.04, 33084, 1283.19, 1.60%
2006-08-07, 3.72, 3.76, 0.04, 1.08%, 3.70, 3.88, 36921, 1398.20, 1.78%
2006-08-08, 3.78, 3.98, 0.22, 5.85%, 3.78, 4.01, 41589, 1620.23, 2.01%
2006-08-09, 4.00, 3.98, 0.00, 0.00%, 3.95, 4.08, 58729, 2360.59, 2.83%
2006-08-10, 3.98, 4.06, 0.08, 2.01%, 3.95, 4.15, 52705, 2125.32, 2.54%
2006-08-11, 4.07, 4.06, 0.00, 0.00%, 4.00, 4.11, 31759, 1289.59, 1.53%
2006-08-14, 4.06, 3.83, -0.23, -5.67%, 3.80, 4.10, 38525, 1510.98, 1.86%
2006-08-15, 3.80, 3.98, 0.15, 3.92%, 3.80, 4.00, 35883, 1408.23, 1.73%
2006-08-16, 3.96, 4.02, 0.04, 1.01%, 3.91, 4.05, 31352, 1254.87, 1.51%
2006-08-17, 4.00, 3.95, -0.07, -1.74%, 3.90, 4.00, 28033, 1106.23, 1.35%
2006-08-18, 3.91, 3.99, 0.04, 1.01%, 3.91, 4.07, 31676, 1269.58, 1.53%
2006-08-21, 3.81, 3.94, -0.05, -1.25%, 3.77, 3.94, 25760, 999.72, 1.24%
2006-08-22, 3.93, 4.04, 0.10, 2.54%, 3.88, 4.14, 50091, 2029.47, 2.42%
