	, volume, prediction
2015-05-11, 1604185.25, 
2015-05-12, 1301555.88,
2015-05-13, 1290738.75,
2015-05-14, 1145881.00,
2015-05-15, 1323576.88,
2015-05-18, 1029128.50,
2015-05-19, 1310610.00,
2015-05-20, 1228489.62,
2015-05-21, 973093.50,
2015-05-22, 1645120.25, 1000000
2015-05-25, 1686903.12, 1000000
2015-05-26, 1592009.50, 2000000
2015-05-27, 1245045.00, 1000000
2015-05-28, 1732603.25, 2000000
2015-05-29, 1262193.38, 1000000
2015-06-01, 1547633.62, 2000000
2015-06-02, 1186803.75, 1000000
2015-06-03, 1017424.19, 0
2015-06-04, 1581586.62, 1000000
2015-06-05, 1426663.25, 1000000
2015-06-08, 2551015.50, 2000000
2015-06-09, 1518412.62, 1000000
2015-06-10, 974516.50, 0
2015-06-11, 1923090.88, 1000000
2015-06-12, 1243972.88, 1000000
2015-06-15, 1359718.75, 1000000
2015-06-16, 1086382.75, 0
2015-06-17, 891161.00, 0
2015-06-18, 1072124.88, 0
2015-06-19, 1187940.25, 0
2015-06-23, 1395239.88, 1000000
2015-06-24, 1042081.56, 0
2015-06-25, 910272.44, 0
2015-06-26, 1867721.38, 1000000
2015-06-29, 1940961.50, 1000000
2015-06-30, 1851018.88, 2000000
2015-07-01, 1179849.88, 1000000
2015-07-02, 1471870.62, 1000000
2015-07-03, 1536503.12, 1000000
2015-07-06, 2996399.25, 1000000
2015-07-07, 6794128.50, 2000000
2015-07-08, 2895519.00, 1000000
2015-07-09, 2731820.75, 1000000
2015-07-10, 2795827.75, 1000000
2015-07-13, 1658019.75, 0
2015-07-14, 1226203.25, 0
2015-07-15, 1086262.12, 0
2015-07-16, 623288.56, 0
2015-07-17, 911914.50, 0
2015-07-20, 1008600.38, 0
2015-07-21, 699651.75, 0
2015-07-22, 704185.38, 0
2015-07-23, 1263857.25, 1000000
2015-07-24, 961855.81, 1000000
2015-07-27, 657724.75, 0
2015-07-28, 1204403.25, 1000000
2015-07-29, 1025999.69, 1000000
2015-07-30, 824815.69, 0
2015-07-31, 685198.94, 0
2015-08-03, 759828.12, 0
2015-08-04, 521580.34, 0
2015-08-05, 435484.53, 0
2015-08-06, 318175.47, 0
2015-08-07, 515693.94, 0
2015-08-10, 759585.56, 1000000
2015-08-11, 585143.62, 0
2015-08-12, 457551.62, 0
2015-08-13, 373036.53, 0
2015-08-14, 392370.72, 0
2015-08-17, 501393.00, 0
2015-08-18, 683621.69, 0
2015-08-19, 502606.12, 0
2015-08-20, 340117.75, 0
2015-08-21, 621677.44, 1000000
2015-08-24, 1091601.00, 1000000
2015-08-25, 1130180.62, 2000000
2015-08-26, 1002484.31, 2000000
2015-08-27, 1100123.50, 2000000
2015-08-28, 986053.50, 2000000
2015-08-31, 850954.25, 1000000
