2015-07-27, 39.89, 36.56, -3.50, -8.74%, 36.39, 40.08, 1712596, 657724.75, 1.58%
2015-07-28, 35.01, 35.10, -1.46, -3.99%, 34.58, 36.73, 3397710, 1204403.25, 3.14%
2015-07-29, 35.76, 34.94, -0.16, -0.46%, 33.80, 35.98, 2964852, 1025999.69, 2.74%
2015-07-30, 34.90, 34.31, -0.63, -1.80%, 34.10, 36.08, 2341074, 824815.69, 2.16%
2015-07-31, 34.01, 33.37, -0.94, -2.74%, 33.11, 34.42, 2036414, 685198.94, 1.88%
2015-08-03, 33.00, 33.36, -0.01, -0.03%, 32.28, 33.39, 2321994, 759828.12, 2.14%
2015-08-04, 33.10, 34.21, 0.85, 2.55%, 32.95, 34.30, 1549591, 521580.34, 1.43%
2015-08-05, 34.00, 33.29, -0.92, -2.69%, 33.21, 34.09, 1293195, 435484.53, 1.19%
2015-08-06, 32.77, 32.89, -0.40, -1.20%, 32.61, 33.64, 961708, 318175.47, 0.89%
2015-08-07, 33.34, 33.89, 1.00, 3.04%, 33.15, 34.24, 1524162, 515693.94, 1.41%
2015-08-10, 34.00, 35.09, 1.20, 3.54%, 33.57, 35.44, 2198393, 759585.56, 2.03%
2015-08-11, 34.90, 34.87, -0.22, -0.63%, 34.70, 35.69, 1664871, 585143.62, 1.54%
2015-08-12, 34.50, 33.79, -1.08, -3.10%, 33.77, 34.76, 1333463, 457551.62, 1.23%
2015-08-13, 33.71, 34.07, 0.28, 0.83%, 33.50, 34.28, 1100030, 373036.53, 1.02%
2015-08-14, 34.18, 33.89, -0.18, -0.53%, 33.80, 34.26, 1155957, 392370.72, 1.07%
2015-08-17, 33.41, 32.97, -0.92, -2.71%, 32.60, 33.49, 1521704, 501393.00, 1.40%
2015-08-18, 33.03, 31.29, -1.68, -5.10%, 31.24, 33.63, 2103894, 683621.69, 1.94%
2015-08-19, 30.95, 31.41, 0.12, 0.38%, 30.50, 31.64, 1614534, 502606.12, 1.49%
2015-08-20, 31.00, 30.55, -0.86, -2.74%, 30.52, 31.40, 1098640, 340117.75, 1.01%
2015-08-21, 30.46, 29.39, -1.16, -3.80%, 29.30, 31.15, 2058582, 621677.44, 1.90%
2015-08-24, 28.49, 26.45, -2.94, -10.00%, 26.45, 28.50, 4032962, 1091601.00, 3.72%
2015-08-25, 25.30, 25.11, -1.34, -5.07%, 24.65, 27.55, 4316162, 1130180.62, 3.98%
2015-08-26, 25.20, 26.36, 1.25, 4.98%, 25.12, 27.30, 3826692, 1002484.31, 3.53%
2015-08-27, 27.40, 29.00, 2.64, 10.02%, 26.97, 29.00, 3939984, 1100123.50, 3.64%
2015-08-28, 29.50, 29.65, 0.65, 2.24%, 28.79, 30.39, 3319340, 986053.50, 3.06%
2015-08-31, 28.86, 30.29, 0.64, 2.16%, 28.52, 30.35, 2894666, 850954.25, 2.67%
